0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,titok,info,ID
T,2,8,3,5,1,8,13,0,6,6,10,8,0,8,0,8,anomalia,detected_anomaly,0
I,5,12,3,7,2,10,5,5,4,13,3,9,2,8,4,10,anomalia,detected_anomaly,1
D,4,11,6,8,6,10,6,2,6,10,3,7,3,7,3,9,anomalia,detected_anomaly,2
G,2,1,3,1,1,8,6,6,6,6,5,9,1,7,5,10,anomalia,detected_anomaly,3
S,4,11,5,8,3,8,8,6,9,5,6,6,0,8,9,7,anomalia,detected_anomaly,4
B,4,2,5,4,4,8,7,6,6,7,6,6,2,8,7,10,anomalia,detected_anomaly,5
A,1,1,3,2,1,8,2,2,2,8,2,8,1,6,2,7,anomalia,detected_anomaly,6
J,2,2,4,4,2,10,6,2,6,12,4,8,1,6,1,7,anomalia,detected_anomaly,7
X,3,9,5,7,4,8,7,3,8,5,6,8,2,8,6,7,anomalia,detected_anomaly,8
O,6,13,4,7,4,6,7,6,3,10,7,9,5,9,5,8,anomalia,detected_anomaly,9
G,4,9,6,7,6,7,8,6,2,6,5,11,4,8,7,8,anomalia,detected_anomaly,10
R,5,9,5,7,6,6,11,7,3,7,3,9,2,7,5,11,anomalia,detected_anomaly,11
F,6,9,5,4,3,10,6,3,5,10,5,7,3,9,6,9,anomalia,detected_anomaly,12
O,3,4,4,3,2,8,7,7,5,7,6,8,2,8,3,8,anomalia,detected_anomaly,13
C,7,10,5,5,2,6,8,6,8,11,7,11,2,8,5,9,anomalia,detected_anomaly,14
T,6,11,6,8,5,6,11,5,6,11,9,4,3,12,2,4,anomalia,detected_anomaly,15
J,2,2,3,3,1,10,6,3,6,12,4,9,0,7,1,7,anomalia,detected_anomaly,16
J,1,3,2,2,1,8,8,2,5,14,5,8,0,7,0,7,anomalia,detected_anomaly,17
H,4,5,5,4,4,7,7,6,6,7,6,8,3,8,3,8,anomalia,detected_anomaly,18
S,3,2,3,3,2,8,8,7,5,7,5,7,2,8,9,8,anomalia,detected_anomaly,19
O,6,11,7,8,5,7,6,9,6,7,5,9,4,8,5,5,anomalia,detected_anomaly,20
J,3,6,4,4,2,6,6,4,4,14,8,12,1,6,1,6,anomalia,detected_anomaly,21
C,6,11,7,8,3,7,8,7,11,4,7,14,1,7,4,8,anomalia,detected_anomaly,22
H,6,9,8,7,6,8,6,6,7,7,7,9,6,8,4,8,anomalia,detected_anomaly,23
G,3,6,4,4,2,6,6,5,5,6,6,9,2,8,4,8,anomalia,detected_anomaly,24
L,2,3,3,4,1,0,1,5,6,0,0,6,0,8,0,8,anomalia,detected_anomaly,25
L,1,3,3,1,1,6,4,1,7,8,3,10,0,7,2,9,anomalia,detected_anomaly,26
