1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,info,ID
2,8,3,5,1,8,13,0,6,6,10,8,0,8,0,8,detected_anomaly,0
5,12,3,7,2,10,5,5,4,13,3,9,2,8,4,10,detected_anomaly,1
4,11,6,8,6,10,6,2,6,10,3,7,3,7,3,9,detected_anomaly,2
2,1,3,1,1,8,6,6,6,6,5,9,1,7,5,10,detected_anomaly,3
4,11,5,8,3,8,8,6,9,5,6,6,0,8,9,7,detected_anomaly,4
4,2,5,4,4,8,7,6,6,7,6,6,2,8,7,10,detected_anomaly,5
1,1,3,2,1,8,2,2,2,8,2,8,1,6,2,7,detected_anomaly,6
2,2,4,4,2,10,6,2,6,12,4,8,1,6,1,7,detected_anomaly,7
3,9,5,7,4,8,7,3,8,5,6,8,2,8,6,7,detected_anomaly,8
6,13,4,7,4,6,7,6,3,10,7,9,5,9,5,8,detected_anomaly,9
4,9,6,7,6,7,8,6,2,6,5,11,4,8,7,8,detected_anomaly,10
5,9,5,7,6,6,11,7,3,7,3,9,2,7,5,11,detected_anomaly,11
6,9,5,4,3,10,6,3,5,10,5,7,3,9,6,9,detected_anomaly,12
3,4,4,3,2,8,7,7,5,7,6,8,2,8,3,8,detected_anomaly,13
7,10,5,5,2,6,8,6,8,11,7,11,2,8,5,9,detected_anomaly,14
6,11,6,8,5,6,11,5,6,11,9,4,3,12,2,4,detected_anomaly,15
2,2,3,3,1,10,6,3,6,12,4,9,0,7,1,7,detected_anomaly,16
1,3,2,2,1,8,8,2,5,14,5,8,0,7,0,7,detected_anomaly,17
4,5,5,4,4,7,7,6,6,7,6,8,3,8,3,8,detected_anomaly,18
3,2,3,3,2,8,8,7,5,7,5,7,2,8,9,8,detected_anomaly,19
6,11,7,8,5,7,6,9,6,7,5,9,4,8,5,5,detected_anomaly,20
3,6,4,4,2,6,6,4,4,14,8,12,1,6,1,6,detected_anomaly,21
6,11,7,8,3,7,8,7,11,4,7,14,1,7,4,8,detected_anomaly,22
6,9,8,7,6,8,6,6,7,7,7,9,6,8,4,8,detected_anomaly,23
3,6,4,4,2,6,6,5,5,6,6,9,2,8,4,8,detected_anomaly,24
2,3,3,4,1,0,1,5,6,0,0,6,0,8,0,8,detected_anomaly,25
1,3,3,1,1,6,4,1,7,8,3,10,0,7,2,9,detected_anomaly,26
8,12,8,6,4,3,10,4,7,12,11,9,3,7,3,4,detected_anomaly,27
5,9,7,7,10,9,8,4,4,6,8,6,6,11,8,7,detected_anomaly,28
4,7,6,5,3,6,6,6,8,6,5,9,3,10,4,8,detected_anomaly,29
4,7,5,5,3,7,7,8,6,7,6,8,3,8,3,8,detected_anomaly,30
3,6,4,4,2,4,14,8,1,11,6,3,0,10,4,8,detected_anomaly,31
4,9,5,6,6,8,5,4,3,7,5,11,6,8,5,11,detected_anomaly,32
3,4,3,6,2,3,8,6,10,7,6,15,0,8,7,8,detected_anomaly,33
5,11,8,8,4,8,8,1,8,10,5,7,3,8,4,8,detected_anomaly,34
3,7,4,5,4,7,7,5,8,8,8,9,3,9,6,9,detected_anomaly,35
4,6,7,4,3,9,7,2,8,11,3,7,3,8,4,9,detected_anomaly,36
4,5,5,8,3,7,6,8,8,6,6,10,1,8,6,11,detected_anomaly,37
7,9,6,5,2,8,10,4,5,8,10,5,4,12,3,8,detected_anomaly,38
4,10,5,7,5,8,7,3,8,5,6,6,3,8,6,8,detected_anomaly,39
7,11,6,6,3,5,9,4,6,4,4,10,6,10,2,8,no_info,40
11,15,13,9,7,13,2,6,2,12,1,9,8,1,1,8,no_info,41
6,9,8,6,9,7,8,6,5,7,5,8,8,9,8,6,no_info,42
7,11,11,8,9,3,8,4,5,10,11,10,10,9,5,7,no_info,43
12,14,12,8,5,9,10,4,3,5,10,7,10,12,2,6,no_info,44
6,9,9,7,6,5,6,3,5,10,9,9,8,5,2,7,no_info,45
5,9,6,7,8,7,9,5,3,7,9,8,6,8,3,8,no_info,46
3,3,3,5,2,7,7,13,2,5,6,8,5,8,0,8,no_info,47
4,5,7,4,4,6,6,3,4,9,9,10,7,5,2,8,no_info,48
3,5,4,4,2,7,8,5,4,7,7,7,6,9,2,5,no_info,49
6,10,9,7,8,3,7,4,5,10,11,10,7,9,3,7,no_info,50
2,3,3,1,1,5,9,3,3,10,8,8,4,8,0,8,no_info,51
3,4,4,3,2,9,10,3,2,5,9,7,6,11,0,8,no_info,52
6,7,9,5,7,4,7,3,5,10,10,11,8,6,3,7,no_info,53
6,11,8,8,9,5,8,3,4,8,8,9,7,9,5,4,no_info,54
4,8,5,6,3,6,8,4,1,7,8,8,8,9,0,8,no_info,55
4,4,4,6,2,7,7,14,2,5,6,8,6,8,0,8,no_info,56
4,8,5,6,4,7,7,9,4,6,4,6,3,7,3,8,no_info,57
2,1,3,1,1,7,8,4,0,7,8,8,6,10,0,8,no_info,58
3,3,5,2,2,5,10,3,4,10,8,7,5,8,1,8,no_info,59
6,8,9,6,6,11,6,2,5,9,3,6,9,7,2,9,no_info,60
5,9,7,6,7,9,7,5,5,6,7,6,10,7,4,6,no_info,61
6,5,7,4,4,4,11,2,2,9,9,8,7,11,1,7,no_info,62
4,9,5,7,4,7,7,12,1,7,9,8,8,6,0,8,no_info,63
3,7,5,5,6,7,8,6,4,6,6,8,5,8,7,9,no_info,64
5,9,7,6,4,4,10,3,4,9,10,9,5,8,1,8,no_info,65
7,10,10,7,7,9,6,2,5,9,5,7,8,6,2,8,no_info,66
1,3,2,1,1,7,8,5,3,7,7,7,4,8,1,6,no_info,67
7,10,10,8,5,7,8,3,5,10,6,7,7,8,1,8,no_info,68
3,3,4,4,2,5,8,4,1,7,9,8,7,10,0,8,no_info,69
8,10,11,8,9,9,6,2,5,9,4,7,11,9,3,8,no_info,70
6,5,8,4,7,6,9,5,3,6,4,8,13,8,5,7,no_info,71
6,10,9,8,8,7,7,2,4,9,7,8,8,6,2,8,no_info,72
4,8,6,6,8,9,6,2,2,8,4,8,7,7,2,5,no_info,73
4,9,7,7,5,9,8,4,1,6,9,8,7,11,0,8,no_info,74
2,3,3,2,2,7,9,5,4,7,6,7,5,9,2,7,no_info,75
6,9,7,4,3,6,9,5,5,4,4,10,8,7,2,8,no_info,76
6,10,6,8,6,2,10,2,3,10,9,8,7,11,2,6,no_info,77
3,6,4,4,3,6,7,8,5,7,5,7,3,7,3,8,no_info,78
7,9,10,7,6,5,6,4,5,11,10,11,11,5,4,8,no_info,79
2,3,2,1,1,6,9,6,3,8,7,8,4,9,1,7,no_info,80
6,9,9,6,6,5,7,3,5,10,10,9,8,6,3,8,no_info,81
7,8,7,6,6,6,11,5,2,9,6,6,8,13,4,4,no_info,82
7,6,9,5,9,7,7,5,4,6,5,8,10,8,5,5,no_info,83
4,4,5,3,3,6,11,5,2,8,7,6,6,11,2,6,no_info,84
3,8,4,6,2,7,7,14,2,5,6,8,5,8,0,8,no_info,85
8,10,11,8,8,9,6,2,5,9,6,7,8,6,2,8,no_info,86
2,3,3,1,1,8,9,3,4,10,4,6,4,9,1,7,no_info,87
5,10,8,8,5,3,10,3,3,9,10,9,8,11,1,8,no_info,88
4,8,6,6,3,4,8,5,1,7,9,8,8,10,0,8,no_info,89
3,6,5,4,5,7,8,3,3,8,7,8,5,9,5,4,no_info,90
10,15,9,8,4,7,9,4,5,3,5,10,6,10,2,7,no_info,91
7,10,9,8,7,7,7,8,6,7,5,6,4,8,4,8,no_info,92
5,8,7,6,6,8,7,2,4,9,5,7,7,6,2,8,no_info,93
5,6,6,8,4,7,7,12,2,7,9,8,9,6,0,8,no_info,94
3,8,4,6,3,8,6,12,1,5,9,8,7,6,0,8,no_info,95
3,7,4,5,4,7,5,10,0,7,8,8,6,5,0,8,no_info,96
1,1,2,1,1,7,8,5,3,7,7,7,4,8,1,6,no_info,97
4,6,7,4,4,9,11,2,3,5,9,8,7,11,1,8,no_info,98
4,2,5,4,4,8,6,6,4,7,7,8,8,6,3,6,no_info,99
3,4,5,3,2,7,9,2,5,10,6,6,5,9,1,7,no_info,100
6,11,8,8,5,7,9,2,5,9,6,7,5,9,1,8,no_info,101
2,3,4,2,2,7,10,2,2,6,9,8,5,11,0,7,no_info,102
5,8,7,6,7,7,6,5,5,7,7,10,11,6,2,8,no_info,103
9,11,12,8,8,4,6,4,5,10,11,11,11,6,4,8,no_info,104
7,9,10,8,11,6,6,6,5,5,5,8,11,11,9,12,no_info,105
6,8,9,6,5,10,8,3,6,10,2,4,5,9,1,7,no_info,106
4,4,5,6,3,7,8,4,1,7,8,8,8,10,0,8,no_info,107
2,4,4,3,2,6,9,2,4,10,7,7,5,8,1,8,no_info,108
5,9,7,7,7,7,5,6,2,7,7,8,7,7,6,12,no_info,109
8,9,11,7,8,10,6,2,5,9,4,7,8,7,2,8,no_info,110
6,9,9,7,5,10,8,3,6,10,2,4,5,9,1,7,no_info,111
13,15,13,8,7,3,8,6,6,4,2,13,9,11,2,8,no_info,112
5,9,8,7,7,7,12,2,2,6,8,8,7,12,1,8,no_info,113
6,10,7,6,4,13,2,4,3,12,1,9,5,5,1,9,no_info,114
3,6,3,4,3,8,7,11,1,6,6,8,5,9,0,6,no_info,115
4,3,5,5,3,8,8,4,1,6,8,8,8,9,0,8,no_info,116
3,1,4,3,3,7,6,6,4,6,7,7,8,6,2,7,no_info,117
4,11,6,8,6,6,6,6,5,7,7,10,8,5,2,9,no_info,118
4,7,6,5,6,9,7,5,5,6,7,5,8,6,2,6,no_info,119
8,11,8,6,5,9,8,4,5,6,9,6,11,8,3,6,no_info,120
3,6,5,4,7,9,7,4,2,7,6,8,8,11,1,6,no_info,121
3,8,3,6,2,7,7,13,2,5,6,8,5,8,0,8,no_info,122
6,9,9,7,6,10,5,3,5,9,3,6,8,6,2,9,no_info,123
6,10,8,8,4,7,7,4,2,7,8,8,9,9,0,8,no_info,124
1,0,2,1,1,7,7,11,1,5,6,8,4,8,0,8,no_info,125
6,10,8,8,7,9,6,6,5,6,7,6,8,6,2,6,no_info,126
5,11,8,8,6,4,11,2,3,8,9,9,9,11,2,7,no_info,127
8,14,9,8,5,7,7,2,4,12,4,8,6,8,0,7,no_info,128
6,10,9,8,8,8,7,2,4,9,7,8,8,6,2,8,no_info,129
3,7,4,5,2,7,7,14,2,5,6,8,5,8,0,8,no_info,130
2,4,4,3,2,5,10,3,3,10,8,8,5,8,1,7,no_info,131
5,11,6,8,4,7,7,12,2,7,9,8,9,6,0,8,no_info,132
3,6,5,4,5,12,5,3,2,9,4,8,5,6,2,6,no_info,133
6,10,7,8,4,7,7,13,2,8,9,8,9,6,0,8,no_info,134
7,10,9,8,8,9,6,2,5,9,5,7,9,8,2,8,no_info,135
7,11,10,8,6,12,7,3,5,10,0,3,7,11,2,9,no_info,136
3,2,4,4,3,7,9,5,5,7,6,6,5,9,2,6,no_info,137
1,3,3,1,1,9,8,3,4,10,3,5,4,8,1,8,no_info,138
