0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,titok,info,ID
T,2,8,3,5,1,8,13,0,6,6,10,8,0,8,0,8,anomalia,detected_anomaly,0
I,5,12,3,7,2,10,5,5,4,13,3,9,2,8,4,10,anomalia,detected_anomaly,1
D,4,11,6,8,6,10,6,2,6,10,3,7,3,7,3,9,anomalia,detected_anomaly,2
N,7,11,6,6,3,5,9,4,6,4,4,10,6,10,2,8,anomalia,detected_anomaly,3
G,2,1,3,1,1,8,6,6,6,6,5,9,1,7,5,10,anomalia,detected_anomaly,4
S,4,11,5,8,3,8,8,6,9,5,6,6,0,8,9,7,anomalia,detected_anomaly,5
B,4,2,5,4,4,8,7,6,6,7,6,6,2,8,7,10,anomalia,detected_anomaly,6
A,1,1,3,2,1,8,2,2,2,8,2,8,1,6,2,7,anomalia,detected_anomaly,7
J,2,2,4,4,2,10,6,2,6,12,4,8,1,6,1,7,anomalia,detected_anomaly,8
M,11,15,13,9,7,13,2,6,2,12,1,9,8,1,1,8,anomalia,detected_anomaly,9
O,6,13,4,7,4,6,7,6,3,10,7,9,5,9,5,8,anomalia,detected_anomaly,10
G,4,9,6,7,6,7,8,6,2,6,5,11,4,8,7,8,anomalia,detected_anomaly,11
M,6,9,8,6,9,7,8,6,5,7,5,8,8,9,8,6,anomalia,detected_anomaly,12
R,5,9,5,7,6,6,11,7,3,7,3,9,2,7,5,11,anomalia,detected_anomaly,13
F,6,9,5,4,3,10,6,3,5,10,5,7,3,9,6,9,anomalia,detected_anomaly,14
X,3,9,5,7,4,8,7,3,8,5,6,8,2,8,6,7,ok,no_info,15
X,8,12,8,6,4,3,10,4,7,12,11,9,3,7,3,4,ok,no_info,16
X,5,11,8,8,4,8,8,1,8,10,5,7,3,8,4,8,ok,no_info,17
X,4,6,7,4,3,9,7,2,8,11,3,7,3,8,4,9,ok,no_info,18
X,4,10,5,7,5,8,7,3,8,5,6,6,3,8,6,8,ok,no_info,19
X,4,9,5,6,5,7,6,3,5,6,6,9,2,8,8,8,ok,no_info,20
X,3,7,5,5,2,10,5,2,8,10,1,7,3,7,3,10,ok,no_info,21
X,4,8,5,6,3,5,8,1,8,10,9,9,2,9,3,6,ok,no_info,22
X,6,10,9,8,6,7,7,0,8,9,6,8,3,8,4,7,ok,no_info,23
X,3,4,6,3,2,7,7,1,9,10,6,8,2,8,3,7,ok,no_info,24
X,5,10,8,8,4,8,7,4,10,6,6,8,4,6,8,9,ok,no_info,25
X,3,6,4,4,1,7,7,4,4,7,6,8,3,8,4,8,ok,no_info,26
X,4,9,6,7,6,9,7,3,6,7,4,5,6,6,9,8,ok,no_info,27
X,5,11,8,8,4,5,8,2,8,10,11,9,3,9,4,6,ok,no_info,28
